date,state,district,pincode,age_5_17_count,age_17_plus_count,state_clean,state_final,total_updates,day,month,year,district_clean
2025-03-01,uttar pradesh,gorakhpur,273213,49,529,uttarpradesh,uttarpradesh,578,1,3,2025,gorakhpur
2025-03-01,andhra pradesh,chittoor,517132,22,375,andhrapradesh,andhrapradesh,397,1,3,2025,chittoor
2025-03-01,gujarat,rajkot,360006,65,765,gujarat,gujarat,830,1,3,2025,rajkot
2025-03-01,andhra pradesh,srikakulam,532484,24,314,andhrapradesh,andhrapradesh,338,1,3,2025,srikakulam
2025-03-01,rajasthan,udaipur,313801,45,785,rajasthan,rajasthan,830,1,3,2025,udaipur
2025-03-01,rajasthan,sikar,332028,28,285,rajasthan,rajasthan,313,1,3,2025,sikar
2025-03-01,karnataka,tumakuru,572201,88,332,karnataka,karnataka,420,1,3,2025,tumakuru
2025-03-01,uttar pradesh,gorakhpur,273211,61,836,uttarpradesh,uttarpradesh,897,1,3,2025,gorakhpur
2025-03-01,andhra pradesh,kurnool,518313,83,986,andhrapradesh,andhrapradesh,1069,1,3,2025,kurnool
2025-03-01,west bengal,paschim medinipur,721148,13,281,westbengal,westbengal,294,1,3,2025,paschim medinipur
2025-03-01,uttar pradesh,ghazipur,233226,134,1591,uttarpradesh,uttarpradesh,1725,1,3,2025,ghazipur
2025-03-01,gujarat,patan,385360,117,719,gujarat,gujarat,836,1,3,2025,patan
2025-03-01,telangana,mulugu,506172,24,281,telangana,telangana,305,1,3,2025,mulugu
2025-03-01,rajasthan,ganganagar,335027,25,545,rajasthan,rajasthan,570,1,3,2025,ganganagar
2025-03-01,odisha,nayagarh,752081,48,295,odisha,odisha,343,1,3,2025,nayagarh
2025-03-01,maharashtra,nashik,422305,13,227,maharashtra,maharashtra,240,1,3,2025,nashik
2025-03-01,karnataka,shivamogga,577425,11,30,karnataka,karnataka,41,1,3,2025,shivamogga
2025-03-01,kerala,thrissur,680305,11,72,kerala,kerala,83,1,3,2025,thrissur
2025-03-01,karnataka,hassan,573144,23,53,karnataka,karnataka,76,1,3,2025,hassan
2025-03-01,bihar,patna,804423,16,97,bihar,bihar,113,1,3,2025,patna
2025-03-01,karnataka,belgaum,591118,27,56,karnataka,karnataka,83,1,3,2025,belagavi
2025-03-01,tamil nadu,kancheepuram,603202,42,700,tamilnadu,tamilnadu,742,1,3,2025,kanchipuram
2025-03-01,madhya pradesh,jabalpur,483119,132,1228,madhyapradesh,madhyapradesh,1360,1,3,2025,jabalpur
2025-03-01,tamil nadu,chennai,600006,16,128,tamilnadu,tamilnadu,144,1,3,2025,chennai
2025-03-01,assam,tinsukia,786174,22,416,assam,assam,438,1,3,2025,tinsukia
2025-03-01,bihar,jamui,811313,61,579,bihar,bihar,640,1,3,2025,jamui
2025-03-01,bihar,gaya,823003,301,2485,bihar,bihar,2786,1,3,2025,gaya
2025-03-01,karnataka,bengaluru,560072,92,438,karnataka,karnataka,530,1,3,2025,bengaluru
2025-03-01,tamil nadu,tiruppur,641606,54,639,tamilnadu,tamilnadu,693,1,3,2025,tiruppur
2025-03-01,maharashtra,jalgaon,425310,30,685,maharashtra,maharashtra,715,1,3,2025,jalgaon
2025-03-01,tripura,dhalai,799285,18,517,tripura,tripura,535,1,3,2025,dhalai
2025-03-01,odisha,nabarangapur,764077,37,465,odisha,odisha,502,1,3,2025,nabarangapur
2025-03-01,rajasthan,chittorgarh,312023,274,2259,rajasthan,rajasthan,2533,1,3,2025,chittorgarh
2025-03-01,bihar,darbhanga,847103,128,1525,bihar,bihar,1653,1,3,2025,darbhanga
2025-03-01,bihar,purnia,854317,27,453,bihar,bihar,480,1,3,2025,purnia
2025-03-01,uttar pradesh,muzaffarnagar,247775,22,222,uttarpradesh,uttarpradesh,244,1,3,2025,muzaffarnagar
2025-03-01,rajasthan,jaipur,303701,54,346,rajasthan,rajasthan,400,1,3,2025,jaipur
2025-03-01,rajasthan,churu,331301,22,700,rajasthan,rajasthan,722,1,3,2025,churu
2025-03-01,rajasthan,bharatpur,321406,19,414,rajasthan,rajasthan,433,1,3,2025,bharatpur
2025-03-01,gujarat,jamnagar,361120,42,313,gujarat,gujarat,355,1,3,2025,jamnagar
2025-03-01,west bengal,howrah,711303,118,1909,westbengal,westbengal,2027,1,3,2025,howrah
2025-03-01,gujarat,ahmedabad,382110,147,1065,gujarat,gujarat,1212,1,3,2025,ahmedabad
2025-03-01,arunachal pradesh,west kameng,790001,13,44,arunachalpradesh,arunachalpradesh,57,1,3,2025,west kameng
2025-03-01,rajasthan,jalor,343021,20,355,rajasthan,rajasthan,375,1,3,2025,jalor
2025-03-01,karnataka,belagavi,591248,78,119,karnataka,karnataka,197,1,3,2025,belagavi
2025-03-01,uttar pradesh,bahraich,271821,54,556,uttarpradesh,uttarpradesh,610,1,3,2025,bahraich
2025-03-01,tamil nadu,nagapattinam,611001,21,379,tamilnadu,tamilnadu,400,1,3,2025,nagapattinam
2025-03-01,bihar,sheikhpura,811102,32,290,bihar,bihar,322,1,3,2025,sheikhpura
2025-03-01,andhra pradesh,chittoor,517291,10,145,andhrapradesh,andhrapradesh,155,1,3,2025,chittoor
2025-03-01,punjab,amritsar,143119,10,197,punjab,punjab,207,1,3,2025,amritsar
2025-03-01,west bengal,paschim medinipur,721436,10,168,westbengal,westbengal,178,1,3,2025,paschim medinipur
2025-03-01,karnataka,mysore,571121,10,104,karnataka,karnataka,114,1,3,2025,mysuru
2025-03-01,andhra pradesh,alluri sitharama raju,531040,14,454,andhrapradesh,andhrapradesh,468,1,3,2025,alluri sitharama raju
2025-03-01,bihar,sitamarhi,843301,26,417,bihar,bihar,443,1,3,2025,sitamarhi
2025-03-01,jharkhand,khunti,835234,19,425,jharkhand,jharkhand,444,1,3,2025,khunti
2025-03-01,uttar pradesh,saharanpur,247670,10,105,uttarpradesh,uttarakhand,115,1,3,2025,saharanpur
2025-03-01,tamil nadu,kanyakumari,629803,10,19,tamilnadu,tamilnadu,29,1,3,2025,kanyakumari
2025-03-01,andhra pradesh,prakasam,523291,10,116,andhrapradesh,andhrapradesh,126,1,3,2025,prakasam
2025-03-01,andhra pradesh,ananthapuramu,515405,14,32,andhrapradesh,andhrapradesh,46,1,3,2025,ananthapuramu
2025-03-01,west bengal,hooghly,712148,35,639,westbengal,westbengal,674,1,3,2025,hooghly
2025-03-01,delhi,central delhi,110055,109,1458,delhi,delhi,1567,1,3,2025,central delhi
2025-03-01,uttar pradesh,deoria,274205,59,758,uttarpradesh,uttarpradesh,817,1,3,2025,deoria
2025-03-01,jharkhand,giridih,825320,98,2931,jharkhand,jharkhand,3029,1,3,2025,giridih
2025-03-01,odisha,koraput,764039,42,432,odisha,odisha,474,1,3,2025,koraput
2025-03-01,uttar pradesh,shahjahanpur,242305,83,1029,uttarpradesh,uttarpradesh,1112,1,3,2025,shahjahanpur
2025-03-01,karnataka,bengaluru,560045,136,892,karnataka,karnataka,1028,1,3,2025,bengaluru
2025-03-01,gujarat,chhotaudepur,391155,26,69,gujarat,gujarat,95,1,3,2025,chhotaudepur
2025-03-01,uttar pradesh,bahraich,271845,15,194,uttarpradesh,uttarpradesh,209,1,3,2025,bahraich
2025-03-01,karnataka,belgaum,591232,65,116,karnataka,karnataka,181,1,3,2025,belagavi
2025-03-01,punjab,jalandhar,144002,59,1046,punjab,punjab,1105,1,3,2025,jalandhar
2025-03-01,uttar pradesh,kannauj,209723,57,586,uttarpradesh,uttarpradesh,643,1,3,2025,kannauj
2025-03-01,andhra pradesh,chittoor,517280,17,181,andhrapradesh,andhrapradesh,198,1,3,2025,chittoor
2025-03-01,punjab,jalandhar,144009,36,308,punjab,punjab,344,1,3,2025,jalandhar
2025-03-01,andhra pradesh,visakhapatnam,530053,13,98,andhrapradesh,andhrapradesh,111,1,3,2025,visakhapatnam
2025-03-01,andhra pradesh,alluri sitharama raju,533288,54,214,andhrapradesh,andhrapradesh,268,1,3,2025,alluri sitharama raju
2025-03-01,rajasthan,jodhpur,345021,37,735,rajasthan,rajasthan,772,1,3,2025,jodhpur
2025-03-01,telangana,karimnagar,505452,39,138,telangana,telangana,177,1,3,2025,karimnagar
2025-03-01,andhra pradesh,visakhapatnam,531055,56,699,andhrapradesh,andhrapradesh,755,1,3,2025,visakhapatnam
2025-03-01,uttar pradesh,amethi,227806,23,378,uttarpradesh,uttarpradesh,401,1,3,2025,amethi
2025-03-01,andhra pradesh,hyderabad,500012,21,157,andhrapradesh,andhrapradesh,178,1,3,2025,hyderabad
2025-03-01,tamil nadu,salem,636113,17,340,tamilnadu,tamilnadu,357,1,3,2025,salem
2025-03-01,tamil nadu,cuddalore,607103,10,520,tamilnadu,tamilnadu,530,1,3,2025,cuddalore
2025-03-01,gujarat,sabarkantha,383355,22,123,gujarat,gujarat,145,1,3,2025,sabarkantha
2025-03-01,karnataka,kolar,563120,27,154,karnataka,karnataka,181,1,3,2025,kolar
2025-03-01,maharashtra,nagpur,440007,10,57,maharashtra,maharashtra,67,1,3,2025,nagpur
